Question,Answer
Les Japonais ?,"Les Japonais, c'est ça. Au temps pour moi. J'avais un embryon de piste, mais non. Si nous avons à faire à des Chinois de Chine, ça ne marche plus."
Je voulais vous remercier encore Hubert pour tout à l'heure. Et vous dire que j'étais très fière de faire cette mission avec vous.,"Je comprends. A ce propos, je voulais vous dire... Je sais que vous êtes très admirative de moi, de ma carrière. Vous connaissez ma vie, vous connaissez mon métier. Vous savez que j'ai toujours été un rempart a la barbarie. Malheureusement, tout cela a un prix. Dolores, je vais être un petit peu brutal, mais... Si jamais il devait se passer quelque chose entre nous, je... Il m'est impossible de m'engager avec une femme. Avec moi, les histoires d'amour ne s'écrivent pas dans le temps, ce sont... des histoires courtes, compactes, passionnelles. Je ne sais pas vivre autrement Dolores. D'aucuns ont des aventures. Je suis une aventure. Et je me devais de vous en prévenir."
"C'est... Mais c'est très aimable. Merci, Hubert.",Je vous en prie. Vous êtes aimable. 
Rien.,Vous n'aimez pas les hommes.
"Si, pourquoi ?",Vous retirez votre main comme si...
N'en parlons plus Hubert.,"C'est parce que je ne suis pas juif, c'est ça ?"
Pourquoi vous dites ça ?,Vous avez une religion qui est tellement...
Tellement quoi ?,"Déjà, c'est une religion qui interdit les saucisses, il me semble ?"
Et?,"Et rien. Faisons comme si c'était normal, après tout. Pas de saucisses, pas d'alcool, les femmes voilées. "
"Non, je ne trouve pas. De plus, vous confondez les juifs et les musulmans.",Vous jouez sur les mots Dolores. 
"Désolée si je vous ai vexé. Mais je ne m'excuserai pas. Quant à vos analyses sur les juifs, sur les noirs, sur les femmes, j'aimerais bien que vous les gardiez pour vous à l'avenir",C'est plutôt vous qui avez l'air vexé.
Vous pensez qu'on peut traverser ?,Négatif. C'est un fleuve à crocodiles. En plus il est trop large pour le traverser à la nage.
"On va pas faire demi-tour, il faut qu'on trouve un moyen de passer.","Oui, mais pour le moment, nous sommes bloqués. "
"Ça a l’air joli, par ici.","On va passer la nuit ici. Voilà comment ça va se passer. Moi, je vais chasser. Heinrich, sans te commander tu vas couper du bois. Dolores, soyez gentille. Arrangez-nous une petite table. Essayez de nous faire un truc mignon"
"Je vais dans l'eau, je vais me laver.",Il va attraper plein de microbes. C'est tout ce qu'il va gagner.
"Tu vois, Noël ? C'est peut-être ça, dans un sens... ""changer le monde"".",Attention Heinrich !
"Merci, Noël. J'oublierai jamais.",Je t'en prie mon vieux.
"Entre nous maintenant, c'est à la vie à la mort.","D'accord. Mais la prochaine fois que tu changes de monde, fais attention aux crocodiles."
Tu peux me demander ce que tu veux.,"Commence par remettre ton slip, tu veux ?"
OK.,"Il fait moins le malin. Voilà Dolores, vous pouvez vous occuper du dîner."
"Enfin Noël, Que voulez-vous que je fasse de ça ? Ça fait 200 kilos",Je sais pas. Débrouillez-vous. Faites simple. Personne ne va vous juger.
"Me juger de quoi? Je ne vais ni faire à manger, ni faire une petite table. Parce qu'on juge une femme sur sa cuisine, c'est ça ?","Écoutez, mon petit... J'ai fait mon boulot, moi. J'ai redressé l'avion, je vous ai sauvé la vie. là, je viens de tuer un croco. Si vous voulez qu'on travaille d'égal à égal, faudrait vous y mettre. Vous pouvez au moins vous occupez du manger"
On va pas manger ça.,Elle a raison ?
"Pas non plus la peine de dramatiser, Noël.","Je vois qu'en effet, ton monde change bien vite."
Je viens avec vous.,"Bah, tiens !"
"Tiens, Noël. T'es sûr que tu veux pas des fruits ? C'est vraiment très bon.","Non merci ! J'ai besoin de vitamines, moi."
"Mais Noël, c'est ridicule.","Oui, évidemment. C'est moi qui suis ridicule."
Ça va ? Ça cuit ?,"Doucement. C'est la peau de crocodile, ça met du temps à rôtir, c'est comme ça. "
Je voulais juste faire la paix. On est tous très fatigués. Je pense qu'on a plutôt intérêt à se serrer les coudes.,"Vous avez qu'à demander à Heinrich. Vous avez l'air tellement proche, je suis sûr qu'il sera ravi de vous les serrer, les coudes"
Je comprends pas pourquoi vous réagissez comme ça.,C'est peut-être que j'ai un peu de mal à voir un lieutenant-colonel de l'armée israéliene flirter avec un fils de nazi. Excusez-moi d'avoir un peu de morale.
Pauvre type !,Bravo ! Très drôle! Bravo!
"Ah! Brasilia, enfin, nous y voilà! Je suis ravie que nous ayons pu traverser cette rivière de crocodile. Quelle chance, tout de même, que vous sachiez construire les pédalos.",Hum...
"Je vous ai dit que j'étais désolée pour la tête du canard. Mais bon, je persiste à croire que ça nous aurait pris beaucoup plus de temps.","Ça ne prenait pas beaucoup plus de temps ! Le plus difficile, c'est la partie pédalo. C'est pas la partie canard. La partie canard, c'est un bec,"
un col vert... Enfin n'en parlons plus. ,"L'important, pour l'instant c'est de trouver un hôtel. Voilà qui est fait."
"C'est bon, j'ai eu l'associé de mon père au téléphone. On peut le voir dès ce soir. Petit problème, il a organisé un bal costumé.","Tu as raison, c'est problématique. À moins qu'on y aille déguisés. Ce qui en plus, peut être amusant."
"Oui, très ! Mais on n'y va pas vraiment pour ça.","Non, bien sûr..."
Comment vous avez fait ça?,Je couds. 
"Oui, vous avez raison. C'est ridicule","Voilà, cadeau...  de Noël !"
Merci.,"Non j'ai dit ""cadeau de Noël"". C'est par rapport à mon prénom..."
C'est ce que j'avais compris.,M'oui Sinon... y a aussi les boules.
De Noël?,"Oui. Mais si. C'est rigolo, hein ?"
Ça suffit!,Oui... Il faut absolument que j'appelle Armand.
"Ça va, c'est pas trop...","Non, non c'est bien."
"Moi, j'aurais bien choisi autre chose, mais il n'y avait plus que ça. Je suis arrivé en retard chez le loueur","Ah oui, ça vient de chez le loueur, d'accord. Je me disais aussi."
J'avais fait ça pour... C'est un signe de paix.,Vous voyez ? C'est toujours notre Heinrich. 
Nous y voilà. Ça sent le piège Hubert.,Pas sûr. Ne voyez pas le mal partout. Ils ont peut-être tous eu la même idée.
"Sans doute oui ! Ou alors, ils étaient tous chez le même loueur qu'Heinrich. Et ils étaient tous en retard.",Possible. Plus difficile à croire.
Je vais voir l'associé de mon père. Je reviens,Dolores. Je vous dois des excuses. Il semblerait que vous ayez raison. Que nous soyons pris au piège.
Sans blague ?,"Venez, essayons de ne pas nous faire remarquer."
Vous avez un plan pour sortir d'ici?,Pour l'instant je suis en phase d'analyse.
Vous pensez en sortir bientôt?,Regardez! Le professeur Von Zimmel ! 
"Pardonnez-moi d'interrompre un instant la musique, mais nous avons un invité de marque que j'aimerais accueillir comme il se doit. Je vous demande d'accueillir Monsieur Noël Flantier!",Il ne connaît pas ma vraie identité.
Que nous connaissons mieux sous le nom de OSS 117!,Heinrich ?
Il n'y a plus de Heinrich. Je suis Friedrich !,"Ça, alors ! Heinrich ? Un postiche ?"
"Tu vois Noël, il y a au moins  un point sur lequel je ne t'ai pas menti. C'est sur ma volonté de changer le monde !",Mais alors que voulez-vous von Zimmel ? 
"Ha, ha, ha! Non ! Le 4e Reich est un rêve voué à l'échec. tout le monde a essayé, ça ne marche pas J'ai dépassé ce stade. J'ai décidé de poser les bases d'un vrai... nouveau monde. Un monde plus injuste. Un monde plus intolérant, plus inamical. Un monde où il y auraittout le temps la guerre. Tout le temps la maladie. Ce monde... Mon monde... est le 5e Reich !",Utopiste.
Ça suffit ! Je m'occuperai de vous plus tard. Mettez-les dans mon bureau ! Schnell!,Lâchez-moi. Vous me faites mal.
J'étais trop impatient de vous retrouver cher ami.,"Vous perdez votre temps, von Zimmel ! Je ne vous dirai rien."
"Ça tombe bien, je ne vous ai rien demandé, mon cher.","Vous m'inspirez un sentiment de déjà-vu, professeur. Vos vieilles recettes, vos bureaux secrets, vos croix gammées, vos grottes de nazis tout ça est d'un banal."
"Bien sûr. Et vous, par contre... Vous êtes reporter ! Ça se passe bien, ce reportage ?",Vous vous moquez.
Vous faites des jolies photos ? M. Noël Flantier !,Humour nazi. Aucun intérêt.
"Bienvenue dans mon laboratoire. Zantrax, Blue Devil. Déshabillez-le et attachez-le.","Pourquoi moi? Mon costume, chiens fascistes ! Vous ne respectez donc rien !"
"Gute nacht, herr De la Bath","Carlotta. C'est donc ça, quelque chose de plus confortable ? "
Je ne suis pas Carlotta. Je suis Fraulein Frida.,"Pour moi, vous serez toujours Carlotta, Carlotta."
"Pour moi, vous serez toujours Noël Flantier, Monsieur...",Carlotta. Carlotta. Carlotta.
Flantier...,Carlotta...
"Arrêtons cette mascarade ! Ne fanfaronnez pas trop, M. de la Bath. Car nous allons maintenant voir Ce que vous avez dans le ventre.","Vous pouvez y aller Von Zimmel, j'en ai vu d'autres !"
Je parle de ce que vous avez réellement dans le ventre.,"Qu'allez-vous faire, von Zimmel ?"
"Je vais ouvrir mon coffre-fort. Il y a quelques années, j'ai placé dans votre poitrail deux microfilms. L'un comportant une liste des collaborateurs français. L'autre, beaucoup plus important. Une liste de comptes en Suissequi donne accès à un fabuleux trésor de guerre.",Comment se fait-il que je ne m'en souvienne pas ?
Grâce à ceci. C'est un élixir qui permet d'effacer la mémoire immédiate.,"Mon Dieu ! Ça y est, je m'en souviens. "
"Je vais ouvrir mon coffre-fort. Je vais placer dans votre poitrail deux microfilms. L'un comportant une liste des collaborateurs français. L'autre, beaucoup plus important. Une liste de comptes en Suisse qui donne accès à un fabuleux trésor de guerre.",Comment voulez-vous que je ne m'en souvienne pas ? 
Détachez-le !,Je vous l'avez dit que vous me le paieriez Payeriez. enfin je vous le dis!
"C'est qui, alors ?","J'ai vu, je sais qui c'est, mais je dirai rien."
Friedrich... Mon fils. Pourquoi ? Pourquoi ? TUEZ-LES ! ,Allons-y.
C'est bien Hubert. Encore.,"Tiens, un chauve ? Chauve qui peut."
"Tenez, votre arc et vos flèches.","Vous avez raison. Allons-y, Dolores."
"Allez-y, Hubert.",Je comprends pas ce qui s'est passé là.
Dépêchons-nous ! Ils sont en train de fuir Il faut faire quelque chose !,Vous avez raison. Suivons-les.
"Il faut absolument rattraper von Zimmel, Hubert. Nous n'avons pas le droit à l'échec.",Je vous faisais un compliment Dolores.
Israël doit juger les anciens nazis. Comme elle a jugé Heichman,Bien sûr.
C'est une responsabilité historique Israël doit montrer au monde qu'elle est une démocratie moderne ,Et comment !
Non,Comment ça non? Je comprends pas.
Vous ne me plaisez pas. C'est tout,"Justement, c'est ça que je ne comprends pas. Expliquez-moi. Je suis quand même un rempart contre la barbarie, un symbole de..."
"Voilà vous êtes vieux, vous êtes prétentieux. Votre vision des femmes est archaïque.Vous êtes imbu de vous-même, supérieur, parfois à la limite du racisme. Vous vous habillez mal. Vous êtes infantile, vous n'êtes pas drôle. Je m'arrête là ?",Je m'habille mal ? 
"N'oubliez pas Hubert, il nous le faut vivant.",J'en fais mon affaire.
Ça va?,"Très bien, merci."
Les collants verts ? Ils étaient tout déchirés on les a jetés.,Ah ? C'est fâcheux.
Il y aurait bien ceux du vieux jardinier. Mais je ne suis pas sûre que ce soit votre genre,"Merveilleux. Ce n'est pas le dernier cri, mais enfin cela fera amplement l'affaire."
Oui.,Avec un peu de chance...
"Pourquoi ne pas lui demander. Je l'ai entendu dire qu'il serait à 20h à Rio, au Corcovado.",Je peux téléphoner?
Allez-y.,Merci.
Allô ?,"Dolores, c'est moi, Hubert."
"Hubert, je me suis fait un sang d'encre.",C'est vrai ? Vous vous êtes inquiétée ?
Je vous croyais mort.,"Ha, c'est gentil. "
Oui. Elle est enfermée.,"Écoutez-moi bien Dolores, Von Zimmel a rendez-vous avec quelqu'un je ne sais pas qui, au Corcovado à 20h."
À tout de suite Hubert. Soyez prudent.,Merci.
"Ah Hubert, sacré, Hubert. Son of a bitch.","Oui, sans doute. Écoute, c'est par rapport à Dolores."
Shalom...,Von Zimmel a rendez-vous au Corcovado à 20h.
"Of course, cocksucker",Évidemment.
Ciao.,"Armand, c'est Hubert."
"Ah Hubert, où êtes-vous ?","Enfin, au Brésil, où voulez-vous que je soit ?"
Où EN êtes-vous dans votre enquête ?,Nous verrons ça à mon retour. Au revoir Armand.
"À très vite, Hubert. Bonne chance .","Au revoir, Armand."
[cacophonie],"Bien, la situation est clarifiée. "
Il y a toujours celle du vieux jardinier. Mais est-ce qu'elle vous plaira ?,Bill? 
"Hello, motherfucker.","Oh, Bill ! Tu m'as fichu une de ces trouilles, mon vieux. "
I'm fucking great. A part peut-être cette chaleur.,Que se passe t-il Bill?
Il se passe que Von Zimmel a eu peur du Mossad. Il a contacté la CIA pour le protéger en échange de précieuses informations.,"Habile, Bill."
Ne bougez pas OSS 117 ou je l'occis.,"Libère-la, Bill. Je te rappelle que nos deux pays sont amis."
"C'est marrant, j'ai l'impression que nous sommes amis que quand vous nous demandez de vous libérer.",Qu'est-ce que tu insinues ?
"Oh, pardon. Vous vous êtes libérés tout seuls, c'est vrai.","Attention Bill, derrière toi, un Chinois."
"Posez votre arme, OSS 117.",Voilà.
"Moi aussi, j'ai prié pour que vous arriviez.",C'est vrai ? Ca fait deux fois que vous me dites des choses gentilles.
"Deux fois, vous êtes sûr ?","Oui, la première fois, c'était au téléphone, vous savez quand..."
Nous sommes pressés Hubert.,"Oui, vous avez raison."
Venez.,"Allez-y, je vous rejoins."
"Ouais. On a passé une nuit ensemble, sur la plage.",On a passé une nuit ensemble ? Ne dites pas ça. On a l'impression qu'on a... 
Je mange une pomme d'amour. Tu veux croquer ?,Serpent ! Je ne mange pas de ce pain là !
Souvenez-vous de notre accord. J'ai besoin de lui vivant.,"Rendez-vous, von Zimmel. C'est terminé. Trumendous est mort Carlotta aussi ! Et le Chinois aussi !"
"Il ne connaît pas, le chinois.","Oui, mais..."
"Oh Mon Dieu, il va tirer !","Mais non mon petit, il bluffe."
"D'ailleurs, au cas où vous ne l'auriez pas vu derrière le nazi il y a aussi un homme. Un homme comme les autres. Le nazi... n'a-t-il pas des yeux ? Le nazi... n'a-t-il pas des mains ?",Vous avez raison. Je crois qu'il est sincère. 
"De la passion ? Et si vous nous piquez, ne saignons-nous pas ? Et si vous nous chatouillez, ne rions-nous pas ? Et si vous nous empoisonnez, NE MOURONS-NOUS PAS ?",Magnifique. C'est drôlement beau ce qu'il dit. Beau et terrible à la fois d'ailleurs.
Je vais essayer de faire le tour.,Laissez-moi faire.
"Adieu, OSS 117.","Ça suffit, von Zimmel ! Au nom de la France, je vous demande de me remetre les microfilms. Et au nom de l’Israël, je vous demande de nous suivre."
"Oh mon Dieu, il va monter pour sauter du bout du bras du Corcovado !",Pas si on l'empêche de sauter du bout du bras du Corcovado.
"Mais Hubert, vos vertiges ?","Chacun doit   vaincre ses démons Dolores. Vous, c'est les nazis. Moi, c'est le trapèze."
"Rendez-vous ? Il va falloir trouver plus convaincant, mon petit ami. Encore faudrait-il que vous n'ayez pas vos vapeurs cette fois ci. Et que vous puissiez avancer malgré le vertige.",Non! Non! NON! C'était un accident ! Un banal accident de trapèze !
"Adieu, OSS 117.",NON !
Lâchez-moi. Lâchez-moi ! ,Pas cette fois-ci.
"Bravo, Hubert. Bravo à l'espion, mais aussi bravo au trapéziste. Merci d'avoir sauvé la vie de von Zimmel.","Ce n'est rien. C'est ma fierté qu'une Israélienne me remercie d'avoir sauvé la vie d'un nazi, j'y vois comme un signe, Dolores. Pourquoi ne pas rêver un jour à une réconciliation entre juifs et nazis."
"Il y a vraiment quelque chose que je ne m'explique pas, avec vous.","Ah oui, quoi donc ?"
Ça !,"Joyeux, Noël."
"Bonjour, Hubert, et bravo ! Les microfilms récupérés, et qui plus est, sans verser d'argent. Chapeau bas.",On a bien fait de ne pas y envoyer les P&T.
"Non, non, c'est coincé. Faute à pas de chance.",D'accord
Oui?,"C'est sans doute rien mais... Cette liste de collaborateurs, il m'a semblé y voir votre nom."
"On m'a dit ça, oui. Oui... Oh là là! Ah là là ! Quelle période! Quelle période ! Quelle période ! Mais enfin tout ça c'est le passé. Il faut que la France oublie pour repartir de l'avant.","Oui, sans doute. Me voilà rassuré."
"Moi aussi, j'ai pensé à vous, Hubert.",Vous voulez dire que...
"La légion d'honneur. J'en ai parlé au premier ministre, M. Pompidou. Ça peut se faire sous huitaine.",Je... Je vous remercie Armand. Je ne sais que dire.
"Ne dites rien Hubert, je sais que vous ne faites pas ça pour les médailles.",Enfin vous savez bien que non.
"Oui, bien sûr. Bon, passons à autre chose. Mon cher ami Vous repartez en mission et qui plus est, en Chine. Où un certain M. Li a pris en otage 50 de nos ressortissants. Et ne veut négocier qu'avec vous.",J'accepte à une seule condition.
Acceptée d'avance. Laquelle ?,Je choisis moi-même mon nom de couverture.
"Pour rencontrer M. Li, il vaut mieux une bonne couverture.",Oui ! Sinon je me mettrais dans de beaux draps.
"Bon Hubert, je crois qu'on a fait le tour du sujet.",Oui... vous avez raison. Hum.
"Allons bon, et qu'est-ce donc ?","Hum, ma foi, je... Je crois que c'est quand ce n'est pas rigolo et que... ça ne parle pas de saucisse."
